%TITLE%
 OUN   260401/0000 

   LEVEL       HGHT       TEMP       DWPT       WDIR       WSPD
-------------------------------------------------------------------
%RAW%
    9.40,  31137.01,    -49.10,    -84.10,  -9999.00,  -9999.00
    8.40,  31880.61,    -45.50,    -83.50,  -9999.00,  -9999.00
    8.30,  31960.81,    -43.30,    -82.30,  -9999.00,  -9999.00
    8.20,  32042.33,    -43.50,    -82.50,  -9999.00,  -9999.00
    8.00,  32211.00,    -42.23,    -81.92,    275.00,     62.01
    7.10,  33026.23,    -36.10,    -79.10,  -9999.00,  -9999.00
%END%

----- Parcel Information-----
*** 100mb MIXED LAYER PARCEL ***
LPL:  P=969  T=81F  Td=57F
MLCAPE:              1358 J/kg
MLCINH:              -166 J/kg
MLLI:                  -6 C
MLLI(300mb):           -3 C
3km MLCAPE:             0 J/kg
NCAPE:             0.15 m/s2

MLLCL:       795mb       1689m
MLLFC:       638mb       3519m
MLEL:        169mb      12746m
MLMPL:       125mb      14596m
All heights AGL

*** MU PARCEL IN LOWEST 400mb ***
LPL:  P=969  T=82F  Td=59F
MUCAPE:              2006 J/kg
MUCINH:               -91 J/kg
MULI:                  -7 C
MULI(300mb):           -5 C
3km MUCAPE:             0 J/kg
NCAPE:             0.21 m/s2

MULCL:       801mb       1629m
MULFC:       665mb       3180m
MUEL:        172mb      12641m
MUMPL:       114mb      15165m
All heights AGL

*** SFC PARCEL ***
LPL:  P=969  T=82F  Td=59F
SBCAPE:              2006 J/kg
SBCINH:               -91 J/kg
SBLI:                  -7 C
SBLI(300mb):           -5 C
3km SBCAPE:             0 J/kg
NCAPE:             0.21 m/s2

SBLCL:       801mb       1629m
SBLFC:       665mb       3180m
SBEL:        172mb      12641m
SBMPL:       114mb      15165m
All heights AGL

----- Misc Thermodynamic Parameters -----
Melting Level:    12391.2
Conv Temp:    35.0
WBZ height:    	  10020.1
DCAPE:        1003.2

----- Moisture -----
Precip Water:    1.16 in
0-1 km mean W:          10.3 g/Kg
0-3 km mean W:          6.4 g/Kg
SFC-850 mb mean W:      10.3 g/Kg

500 mb W:          2.1 g/Kg
700 mb W:          3.3 g/Kg
850 mb W:          10.1 g/Kg
925 mb W:          10.4 g/Kg
SFC RH:	     44 %

-----Delta T and  Lapse Rates -----
700-500mb   24 C      8.9 C/km
850-500mb   31 C      7.2 C/km
0-3 km      21 C      7.0 C/km
3-6 km      26 C      8.8 C/km

----- Vertical Shear -----
0-1 km BWD   18 kt
0-3 km BWD   15 kt
