lat,lon,rank_abi,rank_aoi,rqi
35.29073,-98.50027,2,2,1.0
35.29072,-98.48261,3,3,1.0
35.36301,-98.46505,4,4,1.0
35.27636,-98.48243,5,5,0.8
35.2934,-98.39444,1,1,1.0
35.34868,-98.4474,2,2,1.0
35.33415,-98.44742,3,3,1.0
35.30521,-98.4122,4,4,0.8
35.31983,-98.41217,5,5,0.8
35.33419,-98.16601,2,1,1.0
35.31959,-98.13052,3,2,0.8
35.33809,-98.19248,1,3,0.8
35.33408,-98.1825,4,4,0.2
35.36822,-98.25405,5,5,0.2
35.3343,-98.02536,3,1,0.8
35.37608,-98.09601,2,2,1.0
35.36336,-98.07871,1,3,1.0
35.33446,-98.041,4,4,0.2
35.30533,-98.06386,5,5,0.2
35.30524,-97.86542,1,1,1.0
35.30516,-97.87697,3,2,0.2
35.26766,-97.84769,2,3,0.2
35.30516,-97.89028,5,4,0.2
35.31441,-97.86545,4,5,0.2
35.34445,-96.75925,2,1,0.8
35.34809,-96.74155,4,2,0.8
35.34814,-96.72386,1,3,0.8
35.38429,-96.74162,5,4,0.8
35.38535,-96.67144,3,5,1.0
35.36265,-96.60061,1,1,1.0
35.34809,-96.5976,3,2,0.2
35.34812,-96.60875,2,3,0.2
35.36261,-96.58539,5,4,0.2
35.38386,-96.50911,4,5,0.2
35.40435,-96.37656,1,1,1.0
35.38828,-96.29966,3,2,0.2
35.37274,-96.29967,4,3,0.2
35.40922,-96.35287,2,4,0.8
35.41687,-96.3793,5,5,0.2
35.27967,-96.19365,1,1,0.8
35.28445,-96.18327,2,2,0.2
35.40447,-96.01682,1,1,0.2
35.23554,-103.59604,1,1,0.8
35.21719,-103.63144,2,2,0.8
35.22653,-103.61345,3,3,0.8
35.24488,-103.57799,4,4,0.8
35.20487,-103.65486,5,5,0.8
35.30259,-103.44398,1,1,0.8
35.29314,-103.46026,2,2,0.2
35.28773,-103.47388,3,3,0.2
35.17334,-103.48684,4,4,0.2
35.21552,-103.26097,1,1,0.8
35.21547,-103.29596,2,2,0.8
35.21556,-103.27845,3,3,0.8
35.2155,-103.33133,4,4,1.0
35.23008,-103.33131,5,5,0.8
35.21558,-103.17879,1,1,0.8
35.26376,-102.74443,1,1,0.8
35.25494,-102.76753,2,2,0.2
35.25961,-102.75621,4,3,0.2
35.25082,-102.77844,3,4,0.2
35.26875,-102.72927,5,5,0.2
35.27041,-102.56515,1,1,0.8
35.26733,-102.54907,2,2,0.8
35.23832,-102.65615,3,3,0.8
35.27337,-102.59788,4,4,0.2
35.26329,-102.52742,5,5,0.2
35.28208,-102.40438,1,1,0.8
35.30037,-102.3875,2,2,0.8
35.25576,-102.48756,3,3,0.8
35.31381,-102.37593,4,4,0.8
35.25771,-102.49962,5,5,0.2
35.35342,-101.83156,1,1,0.8
35.28826,-101.70682,2,2,0.8
35.29695,-101.69627,3,3,0.8
35.36316,-101.83171,5,4,0.2
35.34329,-101.8315,4,5,0.2
35.34295,-101.6462,1,1,0.8
35.3281,-101.65847,2,2,0.8
35.36009,-101.64014,3,3,0.8
35.31006,-101.68039,4,4,0.8
35.26994,-101.59414,5,5,0.8
35.31945,-101.43497,1,1,0.8
35.31385,-101.45278,2,2,0.8
35.32495,-101.41719,3,3,0.8
35.31011,-101.38174,4,4,0.8
35.29743,-101.50571,5,5,0.8
35.37144,-101.31089,1,1,0.8
35.37973,-101.29303,2,2,0.8
35.3839,-101.27511,4,3,0.8
35.36318,-101.3286,3,4,0.8
35.39228,-101.2572,5,5,0.8
35.35763,-100.97354,3,1,0.8
35.37211,-100.97354,1,2,0.8
35.34311,-100.97354,2,3,0.8
35.3867,-100.97354,4,4,0.8
35.32858,-100.97354,5,5,0.8
35.38585,-100.71535,1,1,0.8
35.38122,-100.7016,2,2,0.2
35.36514,-100.61343,1,1,0.8
35.34812,-100.60965,4,2,0.8
35.37797,-100.6969,2,3,0.8
35.37212,-100.68063,3,4,0.8
35.37007,-100.62295,5,5,0.2
35.40101,-100.24176,1,1,0.8
35.40981,-100.25193,2,2,0.2
35.44452,-100.1297,1,1,0.8
35.44452,-100.11211,4,2,0.8
35.44453,-100.14506,3,3,0.8
35.44449,-100.09211,2,4,0.8
35.44452,-100.08068,5,5,0.8
35.42979,-99.99961,3,1,1.0
35.45149,-99.97499,4,2,0.8
35.34971,-99.91173,1,3,1.0
35.36425,-99.90165,2,4,0.8
35.33524,-99.92928,5,5,0.8
35.39318,-99.8375,1,1,1.0
35.42214,-99.78786,5,2,0.8
35.36447,-99.80579,3,3,1.0
35.36384,-99.71743,4,4,1.0
35.3931,-99.80567,2,5,1.0
35.4071,-99.61144,2,1,1.0
35.3782,-99.63782,3,2,1.0
35.39099,-99.64685,1,3,1.0
35.40721,-99.629,5,4,0.8
35.45065,-99.62514,4,5,1.0
35.42199,-99.50546,1,1,1.0
35.42184,-99.52327,2,2,1.0
35.40728,-99.52329,3,3,1.0
35.45096,-99.47003,4,4,0.8
35.48005,-99.43494,5,5,0.8
35.42142,-99.3292,1,1,1.0
35.37828,-99.32925,2,2,1.0
35.364,-99.27602,5,3,1.0
35.39286,-99.31141,3,4,0.8
35.39283,-99.32924,4,5,1.0
35.39288,-99.15251,2,1,1.0
35.42188,-99.13475,1,2,0.8
35.40449,-99.15251,3,3,0.8
35.39294,-99.13476,4,4,1.0
35.46523,-99.08148,5,5,1.0
35.3927,-98.94068,5,1,1.0
35.39272,-98.9235,1,2,1.0
35.42165,-98.94056,3,3,0.8
35.4072,-98.94068,4,4,0.8
35.37815,-98.92354,2,5,1.0
35.45042,-98.78235,1,1,1.0
35.40724,-98.83483,2,2,1.0
35.40657,-98.72915,3,3,1.0
35.39276,-98.83482,5,4,1.0
35.43625,-98.85251,4,5,1.0
35.4211,-98.67649,1,1,1.0
35.3917,-98.64111,3,2,0.8
35.42081,-98.64797,2,3,0.8
35.44994,-98.65855,5,4,1.0
35.46442,-98.67625,4,5,1.0
35.42066,-98.47366,1,1,1.0
35.44969,-98.4736,2,2,1.0
35.47879,-98.44728,5,3,0.8
35.47876,-98.42962,3,4,0.8
35.40625,-98.46523,4,5,0.8
35.45096,-98.32395,1,1,1.0
35.43436,-98.25453,3,2,0.8
35.4201,-98.21904,5,3,0.8
35.44914,-98.28926,2,4,1.0
35.44958,-98.30634,4,5,0.8
35.39894,-98.14919,1,1,1.0
35.46453,-98.13172,3,2,1.0
35.40604,-98.18444,2,3,1.0
35.47906,-98.07875,4,4,0.8
35.40616,-98.16682,5,5,0.8
35.43511,-98.00801,1,1,0.8
35.42062,-98.00797,2,2,0.8
35.4926,-97.08872,1,1,1.0
35.46356,-97.07119,2,2,0.8
35.49258,-97.11328,5,3,0.2
35.47812,-97.08881,3,4,0.8
35.4491,-97.04178,4,5,0.8
35.43445,-97.00059,1,1,0.8
